被引年份,科目,总篇数,出版年份,出版年份数据,1是错误数据
2018,   基础科学 ,77065篇,2018,135,0
2018,   工程科技Ⅰ辑 ,162051篇,2018,447,0
2018,   工程科技Ⅱ辑 ,216395篇,2018,705,0
2018,   农业科技 ,70178篇,2018,151,0
2018,   医药卫生科技 ,95157篇,2018,233,0
2018,   哲学与人文科学 ,123240篇,2018,306,0
2018,   信息科技 ,174519篇,2018,657,0
2018,   经济与管理科学 ,171798篇,2018,877,0
2018,   社会科学Ⅰ辑 ,69907篇,2018,251,0
2018,   社会科学Ⅱ辑 ,132763篇,2018,810,0
2018,   基础科学 ,77065篇,2017,5321,0
2018,   工程科技Ⅰ辑 ,162051篇,2017,11895,0
2018,   工程科技Ⅱ辑 ,216395篇,2017,16282,0
2018,   农业科技 ,70178篇,2017,4575,0
2018,   医药卫生科技 ,95157篇,2017,8969,0
2018,   哲学与人文科学 ,123240篇,2017,7074,0
2018,   信息科技 ,174519篇,2017,13257,0
2018,   经济与管理科学 ,171798篇,2017,14521,0
2018,   社会科学Ⅰ辑 ,69907篇,2017,6149,0
2018,   社会科学Ⅱ辑 ,132763篇,2017,11368,0
2018,   基础科学 ,77065篇,2016,7625,0
2018,   工程科技Ⅰ辑 ,162051篇,2016,18849,0
2018,   工程科技Ⅱ辑 ,216395篇,2016,25258,0
2018,   农业科技 ,70178篇,2016,8087,0
2018,   医药卫生科技 ,95157篇,2016,14395,0
2018,   哲学与人文科学 ,123240篇,2016,12419,0
2018,   信息科技 ,174519篇,2016,19528,0
2018,   经济与管理科学 ,171798篇,2016,21761,0
2018,   社会科学Ⅰ辑 ,69907篇,2016,9344,0
2018,   社会科学Ⅱ辑 ,132763篇,2016,16223,0
2018,   基础科学 ,77065篇,2015,7859,0
2018,   工程科技Ⅰ辑 ,162051篇,2015,18449,0
2018,   工程科技Ⅱ辑 ,216395篇,2015,24676,0
2018,   农业科技 ,70178篇,2015,7395,0
2018,   医药卫生科技 ,95157篇,2015,12219,0
2018,   哲学与人文科学 ,123240篇,2015,12604,0
2018,   信息科技 ,174519篇,2015,20444,0
2018,   经济与管理科学 ,171798篇,2015,20037,0
