ID,被引年,科目,全部文献,被引类别,被引数量
1,2009,   基础科学 ,18172篇,被核心期刊引用,10277
2,2009,   工程科技Ⅰ辑 ,27384篇,被核心期刊引用,17105
3,2009,   工程科技Ⅱ辑 ,44933篇,被核心期刊引用,25187
4,2009,   农业科技 ,44933篇,被核心期刊引用,25187
5,2009,   医药卫生科技 ,44933篇,被核心期刊引用,25187
6,2009,   社会科学Ⅰ辑 ,18562篇,被核心期刊引用,3714
7,2009,   信息科技 ,49801篇,被核心期刊引用,18965
8,2009,   经济与管理科学 ,46259篇,被核心期刊引用,16676
9,2010,   基础科学 ,28101篇,被核心期刊引用,15130
10,2010,   工程科技Ⅰ辑 ,44104篇,被核心期刊引用,25630
11,2010,   工程科技Ⅱ辑 ,66104篇,被核心期刊引用,34813
12,2010,   农业科技 ,21808篇,被核心期刊引用,15282
13,2010,   医药卫生科技 ,13966篇,被核心期刊引用,5435
14,2010,   社会科学Ⅰ辑 ,29196篇,被核心期刊引用,5233
15,2010,   信息科技 ,73985篇,被核心期刊引用,25994
16,2010,   经济与管理科学 ,72043篇,被核心期刊引用,23863
17,2011,   基础科学 ,92864篇,被核心期刊引用,29122
18,2011,   工程科技Ⅰ辑 ,58621篇,被核心期刊引用,32931
19,2011,   工程科技Ⅱ辑 ,58621篇,被核心期刊引用,32931
20,2011,   农业科技 ,26233篇,被核心期刊引用,18207
21,2011,   医药卫生科技 ,20359篇,被核心期刊引用,7747
22,2011,   哲学与人文科学 ,20359篇,被核心期刊引用,7747
23,2011,   社会科学Ⅰ辑 ,40164篇,被核心期刊引用,6592
24,2011,   信息科技 ,94970篇,被核心期刊引用,32017
25,2011,   经济与管理科学 ,92864篇,被核心期刊引用,29122
26,2012,   基础科学 ,44421篇,被核心期刊引用,22124
27,2012,   工程科技Ⅰ辑 ,77614篇,被核心期刊引用,41527
28,2012,   工程科技Ⅱ辑 ,110010篇,被核心期刊引用,52134
29,2012,   农业科技 ,33327篇,被核心期刊引用,22413
30,2012,   医药卫生科技 ,29330篇,被核心期刊引用,10526
