国家,每100居民中移动电话用户数,总数量,备注,超过100的,比中国
Afghanistan,70,"23,929,713",,否,-37
Albania,115,"3,497,950",,是,8
Algeria,122,"49,873,389",,是,15
Andorra,104,"80,337",,是,-3
Angola,45,"13,323,952",,否,-62
Anguilla,158,"26,000",,是,51
Antigua and Barbuda,190,"180,000",,是,83
Argentina,140,"61,897,379",,是,33
Armenia,115,"3,488,524",,是,8
Aruba,126,"141,000",,是,19
Australia,119,27553000,,是,12
Austria,170,"14,924,340",,是,63
Azerbaijan,102,10127000,,是,-5
"Bahamas, The",107,"353,540",,是,0
Bahrain,168,"2,364,477",,是,61
Bangladesh,92,"145,113,669",,否,-15
Barbados,116,"337,791",,是,9
Belarus,115,"10,963,224",,是,8
Belgium,104,"11,961,089",,是,-3
Belize,63,"227,000",,否,-44
Benin,79,"8,773,044",,否,-28
Bermuda,92,"64,997",,否,-15
Bhutan,96,"730,623",,否,-11
Bolivia,91,"10,106,216",,否,-16
Bosnia and Herzegovina,89,"3,440,085",,否,-18
Botswana,146,"3,240,589",,是,39
Brazil,114,"236,488,548",,是,7
British Virgin Islands,126,"42,000",,是,19
Brunei,123,"544,732",,是,16
Bulgaria,120,"8,532,908",,是,13
Burkina Faso,89,"17,946,375",,否,-18
Burma,87,"47,951,228",,否,-20
Burundi,52,"5,920,612",,否,-55
Cabo Verde,109,"612,259",,是,2
Cambodia,115,"18,572,973",,是,8
Cameroon,79,"19,706,027",,否,-28
Canada,88,"31,458,600",,否,-19
Cayman Islands,164,"95,656",,是,57
Central African Republic,22,"1,248,346",,否,-85
Chad,52,"6,231,009",,否,-55
Chile,129,"23,013,147",,是,22
China,107,"1,474,097,000",,是,0
Colombia,130,"62,222,011",,是,23
Comoros,55,"446,868",,否,-52
"Congo, Democratic Republic of the",42,"35,270,156",,否,-65
"Congo, Republic of the",102,5056000,,是,-5
Cook Islands,105,"11,000",,是,-2
Costa Rica,179,"8,840,342",,是,72
Cote d'Ivoire,131,"31,747,233",,是,24
Croatia,101,"4,315,580",,是,-6
Cuba,41,"4,613,782",,否,-66
Cyprus,96,"1,176,801",,否,-11
Czechia,118,"12,634,937",,是,11
Denmark,124,"6,978,348",,是,17
Djibouti,43,"373,052",,否,-64
Dominica,106,"78,444",,是,-1
Dominican Republic,82,"8,769,127",,否,-25
Ecuador,85,"13,881,562",,否,-22
Egypt,106,"102,958,194",,是,-1
El Salvador,162,"9,982,186",,是,55
Equatorial Guinea,74,"575,650",,否,-33
Eritrea,9,"506,000",,否,-98
Estonia,152,"1,904,425",,是,45
Eswatini,68,"995,000",,否,-39
Ethiopia,59,62617000,,否,-48
European Union,12,"625,000,799",,否,-95
Falkland Islands (Islas Malvinas),146,"4,674",,是,39
Faroe Islands,107,"54,487",,是,0
Fiji,112,"1,033,915",,是,5
Finland,132,"7,307,800",,是,25
France,103,69017000,,是,-4
French Polynesia,97,"280,111",,否,-10
Gabon,150,"2,663,243",,是,43
"Gambia, The",138,"2,838,127",,是,31
Gaza Strip,76,"3,531,000",includes the West Bank) ,否,-31
Georgia,116,"5,730,625",,是,9
Germany,132,106000000,,是,25
Ghana,134,"36,751,761",,是,27
Gibraltar,140,"41,035",,是,33
Greece,120,"12,937,106",,是,13
Greenland,106,"61,000",,是,-1
Grenada,101,"113,177",,是,-6
Guam,113,"181,000",,是,6
Guatemala,129,"19,986,482",,是,22
Guernsey,113,"71,249",,是,6
Guinea,87,10800000,,否,-20
Guinea-Bissau,80,"1,434,822",,否,-27
Guyana,87,"643,210",,否,-20
Haiti,61,"6,486,549",,否,-46
Honduras,91,"8,233,499",,否,-16
Hong Kong,255,"18,340,347",,是,148
Hungary,122,"12,030,940",,是,15
