country,life,GDP,shiye,shiyefl,wangmin,wangminfl,fat,fatfl
Afghanistan,-23.7,-10.0989,0,ึะ,0.80075,d,0.11,d
Albania,2.8,-2.8854,0.03,ตอ,0.24812,g,2.5,g
Algeria,1.4,-1.0305,0.56,ตอ,0.19361,d,3.42,g
American Samoa,-1.9,-3.7785,1.51,g,0.41165,d,,
Andorra,7.1,22.8084,0.05,ตอ,0.840226,g,3.13,g
Angola,-15.2,-6.8013,0.69,g,0.75564,d,0.32,g
Anguilla,5.8,-3.0915,1.05,g,0.533835,g,,
Antigua and Barbuda,1.1,6.6639,0.74,ตอ,0.225564,g,2.05,g
Argentina,1.7,2.8854,1.15,g,0.319549,g,3.56,g
Armenia,-0.7,-4.9464,1.28,g,0.165414,g,2.26,g
Aruba,1.3,14.2896,0.97,g,0.757519,g,,
Australia,6.6,23.1519,0.44,g,0.657895,g,3.68,g
Austria,5.9,22.8771,0.41,g,0.584586,g,2.24,g
Azerbaijan,-2.8,0.5496,0.28,g,0.469925,g,2.21,g
"Bahamas, The",-2.9,10.7859,0.97,ตอ,0.503759,g,4.1,g
Bahrain,3.3,22.1901,0.08,ตอ,0.842105,g,3.81,g
Bangladesh,-2.1,-8.5875,0.13,g,0.65789,d,0.42,d
Barbados,-0.1,1.3053,0.97,ตอ,0.494361,g,2.73,g
Belarus,-2.6,1.5114,0.79,ตอ,0.336466,g,2.95,g
Belgium,5.4,20.5413,0.82,g,0.62594,g,2.56,g
Belize,-1.1,-5.7708,1.31,g,0.16165,d,2.89,g
Benin,-13.1,-9.8928,0.74,ตอ,0.77444,d,0.55,g
Bermuda,5.7,56.8149,0.79,g,0.842105,g,,
Bhutan,-4.7,-5.2899,0.18,ตอ,0.21429,d,0.03,g
Bolivia,-6,-6.2517,0.03,g,0.25376,d,2.26,g
Bosnia and Herzegovina,1.3,-2.6793,0.87,ตอ,0.302632,g,1.89,g
Botswana,-12,0.2061,1,ตอ,0.2594,d,2.05,g
Brazil,-1.5,-0.7557,0.28,ตอ,0.12218,g,2.56,g
British Virgin Islands,3.1,12.0225,0.26,ตอ,0.18045,d,,
Brunei,1.7,42.7314,0.77,g,0.338346,g,1.27,g
Bulgaria,-1,3.5037,0.59,g,0.12406,g,3.03,g
Burkina Faso,-14,-10.1676,0.79,g,0.73684,d,0.1,d
Burma,-7.2,-7.1448,0.03,g,0.5282,d,0.06,d
Burundi,-14.4,-10.992,,,0.90226,d,0.13,d
Cabo Verde,-3.1,-6.6639,1.31,g,0.09398,d,0.9,g
Cambodia,-10.6,-8.7249,0.92,ตอ,0.5188,d,0.37,d
Cameroon,-16.4,-8.931,0.1,g,0.53008,d,0.84,g
Canada,6.2,21.7779,0.62,g,0.68797,g,3.74,g
Cayman Islands,5.6,18.6177,0.03,g,0.484962,g,,
Central African Republic,-22.5,-10.992,0.77,g,0.91353,d,0.21,g
Chad,-18.3,-9.8928,,,0.90602,d,0.02,d
Chile,3.3,5.4273,0.72,g,0.240602,g,3.52,g
China,0,#VALUE!,0,ึะ,0,z,0,g
Colombia,0.4,-1.5801,1.38,g,0.092105,g,2.6,g
Comoros,-10.9,-10.3737,0.67,g,0.8515,d,0.26,g
Cook Islands,0.4,-10.9233,0.21,ตอ,0.015038,g,8.02,g
Costa Rica,3.1,-6.8013,1.08,g,0.240602,g,3.15,g
Cote d'Ivoire,-15.7,#VALUE!,1.41,g,0.50188,d,0.66,g
Croatia,0.5,0.1374,0.38,ตอ,0.366541,g,2.94,g
Cuba,3.1,-8.7936,0.33,ตอ,0.27068,d,2.97,g
Curacao,2.8,5.496,0.23,ตอ,0.765038,g,,
Cyprus,3.2,-3.0228,0.72,ตอ,0.426692,g,2.52,g
Czechia,3.1,-1.1679,0.26,ตอ,0.43797,g,3.19,g
