国家,肥胖率,变化,变化绝对值,变化方向
Nauru,6100.00%,9,884%,多
Cook Islands,5590.00%,8,802%,多
Palau,5530.00%,8,792%,多
Marshall Islands,5290.00%,8,753%,多
Tuvalu,5160.00%,7,732%,多
Niue,5000%,7,706%,多
Tonga,4820.00%,7,677%,多
Samoa,4730%,7,663%,多
Kiribati,4600.00%,6,642%,多
"Micronesia, Federated States of",4580.00%,6,639%,多
Kuwait,3790%,5,511%,多
United States,3620.00%,5,484%,多
Jordan,3550.00%,5,473%,多
Saudi Arabia,3540.00%,5,471%,多
Qatar,3510.00%,5,466%,多
Libya,3250%,4,424%,多
Turkey,3210%,4,418%,多
Egypt,3200.00%,4,416%,多
Lebanon,3200.00%,4,416%,多
United Arab Emirates,3170.00%,4,411%,多
"Bahamas, The",3160.00%,4,410%,多
New Zealand,3080.00%,4,397%,多
Iraq,3040%,4,390%,多
Fiji,3020%,4,387%,多
Bahrain,2980.00%,4,381%,多
Canada,2940.00%,4,374%,多
Australia,2900.00%,4,368%,多
Malta,2890.00%,4,366%,多
Mexico,2890.00%,4,366%,多
Argentina,2830.00%,4,356%,多
South Africa,2830.00%,4,356%,多
Chile,2800.00%,4,352%,多
Dominica,2790%,4,350%,多
Uruguay,2790.00%,4,350%,多
Syria,2780.00%,3,348%,多
United Kingdom,2780.00%,3,348%,多
Dominican Republic,2760.00%,3,345%,多
Algeria,2740%,3,342%,多
Oman,2700.00%,3,335%,多
Tunisia,2690%,3,334%,多
Hungary,2640.00%,3,326%,多
Suriname,2640%,3,326%,多
Lithuania,2630%,3,324%,多
Israel,2610.00%,3,321%,多
Morocco,2610.00%,321%,321%,多
Czechia,2600.00%,3,319%,多
Iran,2580.00%,3,316%,多
Costa Rica,2570.00%,315%,315%,多
Andorra,2560.00%,3,313%,多
Venezuela,2560%,3,313%,多
Ireland,2530%,3,308%,多
Vanuatu,2520.00%,3,306%,多
Bulgaria,2500.00%,3,303%,多
Greece,2490.00%,3,302%,多
Jamaica,2470.00%,3,298%,多
Cuba,2460.00%,3,297%,多
El Salvador,2460.00%,3,297%,多
Belarus,2450%,3,295%,多
Croatia,2440.00%,3,294%,多
Belize,2410%,3,289%,多
Ukraine,2410.00%,3,289%,多
