国家,寿命,变化,变化绝对值,变化方向
Afghanistan,52.1,-23.7,23.7,少
Albania,78.6,2.8,2.8,多
Algeria,77.2,1.4,1.4,多
American Samoa,73.9,-1.9,1.9,少
Andorra,82.9,7.1,7.1,多
Angola,60.6,-15.2,15.2,少
Anguilla,81.6,5.8,5.8,多
Antigua and Barbuda,76.9,1.1,1.1,多
Argentina,77.5,1.7,1.7,多
Armenia,75.1,-0.7,0.7,少
Aruba,77.1,1.3,1.3,多
Australia,82.4,6.6,6.6,多
Austria,81.7,5.9,5.9,多
Azerbaijan,73,-2.8,2.8,少
"Bahamas, The",72.9,-2.9,2.9,少
Bahrain,79.1,3.3,3.3,多
Bangladesh,73.7,-2.1,2.1,少
Barbados,75.7,-0.1,0.1,少
Belarus,73.2,-2.6,2.6,少
Belgium,81.2,5.4,5.4,多
Belize,74.7,-1.1,1.1,少
Benin,62.7,-13.1,13.1,少
Bermuda,81.5,5.7,5.7,多
Bhutan,71.1,-4.7,4.7,少
Bolivia,69.8,-6,6,少
Bosnia and Herzegovina,77.1,1.3,1.3,多
Botswana,63.8,-12,12,少
Brazil,74.3,-1.5,1.5,少
British Virgin Islands,78.9,3.1,3.1,多
Brunei,77.5,1.7,1.7,多
Bulgaria,74.8,-1,1,少
Burkina Faso,61.8,-14,14,少
Burma,68.6,-7.2,7.2,少
Burundi,61.4,-14.4,14.4,少
Cabo Verde,72.7,-3.1,3.1,少
Cambodia,65.2,-10.6,10.6,少
Cameroon,59.4,-16.4,16.4,少
Canada,82,6.2,6.2,多
Cayman Islands,81.4,5.6,5.6,多
Central African Republic,53.3,-22.5,22.5,少
Chad,57.5,-18.3,18.3,少
Chile,79.1,3.3,3.3,多
China,75.8,0,0,多
Colombia,76.2,0.4,0.4,多
Comoros,64.9,-10.9,10.9,少
"Congo, Democratic Republic of the",58.1,-17.7,17.7,少
"Congo, Republic of the",60.3,-15.5,15.5,少
Cook Islands,76.2,0.4,0.4,多
Costa Rica,78.9,3.1,3.1,多
Cote d'Ivoire,60.1,-15.7,15.7,少
Croatia,76.3,0.5,0.5,多
Cuba,78.9,3.1,3.1,多
Curacao,78.6,2.8,2.8,多
Cyprus,79,3.2,3.2,多
Czechia,78.9,3.1,3.1,多
Denmark,81,5.2,5.2,多
Djibouti,64,-11.8,11.8,少
Dominica,77.4,1.6,1.6,多
Dominican Republic,71.3,-4.5,4.5,少
Ecuador,77.1,1.3,1.3,多
Egypt,73.2,-2.6,2.6,少
El Salvador,75.1,-0.7,0.7,少
Equatorial Guinea,65,-10.8,10.8,少
Eritrea,65.6,-10.2,10.2,少
Estonia,77,1.2,1.2,多
Eswatini,57.2,-18.6,18.6,少
Ethiopia,63,-12.8,12.8,少
Faroe Islands,80.6,4.8,4.8,多
Fiji,73.2,-2.6,2.6,少
Finland,81.1,5.3,5.3,多
France,82,6.2,6.2,多
French Polynesia,77.5,1.7,1.7,多
Gabon,68,-7.8,7.8,少
"Gambia, The",65.4,-10.4,10.4,少
Gaza Strip,74.4,-1.4,1.4,少
Georgia,76.6,0.8,0.8,多
Germany,80.9,5.1,5.1,多
Ghana,67.4,-8.4,8.4,少
Gibraltar,79.7,3.9,3.9,多
Greece,80.8,5,5,多
Greenland,72.9,-2.9,2.9,少
