country,life,GDP,shiye,shiyefl,wangmin,wangminfl,fat,fatfl
Afghanistan,-23.7,-14700,0,ึะ,0.80075,d,0.11,d
Albania,2.8,-4200,0.03,ตอ,0.24812,g,2.5,g
Algeria,1.4,-1500,0.56,ตอ,0.19361,d,3.42,g
American Samoa,-1.9,-5500,1.51,g,0.41165,d,,
Andorra,7.1,33200,0.05,ตอ,0.840226,g,3.13,g
Angola,-15.2,-9900,0.69,g,0.75564,d,0.32,g
Anguilla,5.8,-4500,1.05,g,0.533835,g,,
Antigua and Barbuda,1.1,9700,0.74,ตอ,0.225564,g,2.05,g
Argentina,1.7,4200,1.15,g,0.319549,g,3.56,g
Armenia,-0.7,-7200,1.28,g,0.165414,g,2.26,g
Aruba,1.3,20800,0.97,g,0.757519,g,,
Australia,6.6,33700,0.44,g,0.657895,g,3.68,g
Austria,5.9,33300,0.41,g,0.584586,g,2.24,g
Azerbaijan,-2.8,800,0.28,g,0.469925,g,2.21,g
"Bahamas, The",-2.9,15700,0.97,ตอ,0.503759,g,4.1,g
Bahrain,3.3,32300,0.08,ตอ,0.842105,g,3.81,g
Bangladesh,-2.1,-12500,0.13,g,0.65789,d,0.42,d
Barbados,-0.1,1900,0.97,ตอ,0.494361,g,2.73,g
Belarus,-2.6,2200,0.79,ตอ,0.336466,g,2.95,g
Belgium,5.4,29900,0.82,g,0.62594,g,2.56,g
Belize,-1.1,-8400,1.31,g,0.16165,d,2.89,g
Benin,-13.1,-14400,0.74,ตอ,0.77444,d,0.55,g
Bermuda,5.7,82700,0.79,g,0.842105,g,,
Bhutan,-4.7,-7700,0.18,ตอ,0.21429,d,0.03,g
Bolivia,-6,-9100,0.03,g,0.25376,d,2.26,g
Bosnia and Herzegovina,1.3,-3900,0.87,ตอ,0.302632,g,1.89,g
Botswana,-12,300,1,ตอ,0.2594,d,2.05,g
Brazil,-1.5,-1100,0.28,ตอ,0.12218,g,2.56,g
British Virgin Islands,3.1,17500,0.26,ตอ,0.18045,d,,
Brunei,1.7,62200,0.77,g,0.338346,g,1.27,g
Bulgaria,-1,5100,0.59,g,0.12406,g,3.03,g
Burkina Faso,-14,-14800,0.79,g,0.73684,d,0.1,d
Burma,-7.2,-10400,0.03,g,0.5282,d,0.06,d
Burundi,-14.4,-16000,,,0.90226,d,0.13,d
Cabo Verde,-3.1,-9700,1.31,g,0.09398,d,0.9,g
Cambodia,-10.6,-12700,0.92,ตอ,0.5188,d,0.37,d
Cameroon,-16.4,-13000,0.1,g,0.53008,d,0.84,g
Canada,6.2,31700,0.62,g,0.68797,g,3.74,g
Cayman Islands,5.6,27100,0.03,g,0.484962,g,,
Central African Republic,-22.5,-16000,0.77,g,0.91353,d,0.21,g
Chad,-18.3,-14400,,,0.90602,d,0.02,d
Chile,3.3,7900,0.72,g,0.240602,g,3.52,g
China,0,0,0,ึะ,0,z,0,g
Colombia,0.4,-2300,1.38,g,0.092105,g,2.6,g
Comoros,-10.9,-15100,0.67,g,0.8515,d,0.26,g
"Congo, Democratic Republic of the",-17.7,-15900,,,0.92857,d,0.08,g
"Congo, Republic of the",-15.5,-9900,0.54,g,0.85714,d,0.55,g
Cook Islands,0.4,0,0.21,ตอ,0.015038,g,8.02,g
Costa Rica,3.1,200,1.08,g,0.240602,g,3.15,g
Cote d'Ivoire,-15.7,-12800,1.41,g,0.50188,d,0.66,g
Croatia,0.5,8000,0.38,ตอ,0.366541,g,2.94,g
Cuba,3.1,-4400,0.33,ตอ,0.27068,d,2.97,g
Curacao,2.8,-1700,0.23,ตอ,0.765038,g,,
Cyprus,3.2,20500,0.72,ตอ,0.426692,g,2.52,g
Czechia,3.1,18800,0.26,ตอ,0.43797,g,3.19,g
Denmark,5.2,33400,0.46,g,0.823308,g,2.18,g
Djibouti,-11.8,-13100,1,ตอ,0.75376,d,1.18,g
Dominica,1.6,-5700,0.23,ตอ,0.259398,g,3.5,g
Dominican Republic,-4.5,300,0.31,g,0.152256,g,3.45,g
Ecuador,1.3,-5200,0.18,g,0.016917,g,2.21,g
Egypt,-2.6,-4000,0.44,ตอ,0.26316,d,4.16,g
El Salvador,-0.7,-8700,0.79,g,0.45489,d,2.97,g
Equatorial Guinea,-10.8,20700,1.21,g,0.55263,d,0.29,g
Eritrea,-10.2,-15100,0.49,g,0.97744,d,0.19,d
Estonia,1.2,15000,0.49,g,0.639098,g,2.42,g
Eswatini,-18.6,-6600,1.05,g,0.46241,d,1.66,g
Ethiopia,-12.8,-14500,0.92,g,0.71053,d,0.27,d
Faroe Islands,4.8,23300,0.44,ตอ,0.787594,g,,
